"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","logp","group"
"PLAUR",0.305942384722649,5.94859281650079,4.90010244416931,1.73988682124882e-06,8.03475824194682e-06,4.56049652931331,"PLAUR",5.09502718620219,"no_sig"
"C1QB",0.763463222274436,6.33224815989147,4.89947530845156,1.74495205144138e-06,8.03557751420063e-06,4.55772392821036,"C1QB",5.09498290518346,"up"
"CDKN2D",-0.211907319171816,5.60426101590088,-4.89882008422516,1.75025937479597e-06,8.03750394459378e-06,4.55482745696362,"CDKN2D",5.09487880092745,"no_sig"
"STAT6",0.406256991045355,6.42651915365963,4.8876789595666,1.8429276796182e-06,8.43947940192846e-06,4.50562584054031,"STAT6",5.07368434245527,"no_sig"
"C7",0.39653048742996,5.95204428534345,4.88642950905244,1.85361127880916e-06,8.46482483989516e-06,4.50011372689361,"C7",5.07238202418872,"no_sig"
"ESR1",-0.212748494164194,5.65447452911486,-4.88312918065278,1.88211991928724e-06,8.57120539420561e-06,4.48555945958007,"ESR1",5.06695809765208,"no_sig"
"VTCN1",-0.224162493712176,5.68483233459567,-4.88177300824463,1.89395716190389e-06,8.6012861164917e-06,4.47958115296274,"VTCN1",5.06543660555478,"no_sig"
"MAP2K2",0.243277626120786,6.50940675988015,4.86946032776631,2.0047716363974e-06,9.07946162599815e-06,4.42536653345842,"MAP2K2",5.04193990255712,"no_sig"
"MAPK10",-0.225369431765921,5.93042285525856,-4.86789433471674,2.01930700673855e-06,9.12016681065434e-06,4.41847928742376,"MAPK10",5.03999721821937,"no_sig"
"LILRB4",0.387658941486571,6.36203192970992,4.86567438332981,2.04008699306907e-06,9.18877538796043e-06,4.40871904839268,"LILRB4",5.03674236431462,"no_sig"
"TGFB1",0.249751253055867,6.210194404429,4.86306334744819,2.06479227484319e-06,9.2746407099514e-06,4.39724404994561,"TGFB1",5.03270290550891,"no_sig"
"PPARGC1A",-0.213814951230332,5.6050105444654,-4.85510626167085,2.14187723868338e-06,9.59467624085962e-06,4.3623054286677,"PPARGC1A",5.01796967535065,"no_sig"
"GRB2",0.434427342461682,6.09040665601685,4.85088535628463,2.18388892220053e-06,9.75628638070019e-06,4.34379103635251,"GRB2",5.01071546012825,"no_sig"
"FCGRT",0.517108179851834,6.37765771472151,4.84978015019489,2.19502016066192e-06,9.77943941498158e-06,4.33894539815341,"FCGRT",5.00968603948212,"up"
"SOST",-0.208662252776042,5.63063291689277,-4.84664764587887,2.22686829345383e-06,9.89451749848134e-06,4.3252162615005,"SOST",5.00460537910854,"no_sig"
